#options: 576x1024 fps=29/1 timebase=1/29 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1100149 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:0.00 aq:0.32 tex:1839830 mv:96463 misc:155 imb:2304 pmb:0 smb:0 d:- ref:;
in:122 out:122 type:P dur:2 cpbdur:2 q:0.00 aq:0.17 tex:1442248 mv:21829 misc:323 imb:633 pmb:1667 smb:4 d:- ref:0 ;
in:125 out:123 type:P dur:2 cpbdur:2 q:0.00 aq:0.30 tex:1680603 mv:22256 misc:301 imb:1070 pmb:1233 smb:1 d:- ref:0 ;
in:123 out:124 type:B dur:2 cpbdur:2 q:0.00 aq:0.51 tex:1227494 mv:29893 misc:309 imb:308 pmb:1990 smb:6 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:0.00 aq:0.73 tex:1248788 mv:29288 misc:332 imb:304 pmb:1985 smb:15 d:- ref:0 ;
in:127 out:126 type:P dur:2 cpbdur:2 q:0.00 aq:0.55 tex:1525993 mv:23987 misc:292 imb:1014 pmb:1289 smb:1 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:0.00 aq:0.71 tex:909405 mv:24319 misc:532 imb:137 pmb:2108 smb:59 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:0.00 aq:0.30 tex:1143543 mv:22633 misc:416 imb:355 pmb:1924 smb:25 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:0.00 aq:0.18 tex:1113613 mv:21190 misc:485 imb:357 pmb:1911 smb:36 d:- ref:0 ;
in:131 out:130 type:P dur:2 cpbdur:2 q:0.00 aq:0.31 tex:1335362 mv:24101 misc:329 imb:617 pmb:1674 smb:13 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:0.00 aq:0.77 tex:808997 mv:20738 misc:713 imb:93 pmb:2069 smb:142 d:- ref:0 ;
in:134 out:132 type:P dur:2 cpbdur:2 q:0.00 aq:0.24 tex:1445662 mv:25506 misc:248 imb:819 pmb:1484 smb:1 d:- ref:0 ;
in:132 out:133 type:B dur:2 cpbdur:2 q:0.00 aq:0.56 tex:907933 mv:23414 misc:629 imb:76 pmb:2132 smb:96 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:0.00 aq:0.70 tex:761489 mv:20048 misc:639 imb:44 pmb:2144 smb:116 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:0.00 aq:0.15 tex:1424668 mv:23361 misc:339 imb:660 pmb:1634 smb:10 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:0.00 aq:0.67 tex:778078 mv:20711 misc:787 imb:94 pmb:2041 smb:169 d:- ref:0 ;
in:138 out:137 type:P dur:2 cpbdur:2 q:0.00 aq:0.25 tex:1348605 mv:23308 misc:343 imb:634 pmb:1658 smb:12 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:0.00 aq:0.62 tex:728778 mv:19614 misc:720 imb:42 pmb:2137 smb:125 d:- ref:0 ;
